"","id","degree","group","label","origin","direction","shape","study","tissue","cell"
"Hmgb142","Hmgb1",1,"upregulated","Hmgb1","Gnas","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Stat353","Stat3",11,"no data","Stat3","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Nfkb136","Nfkb1",15,"no data","Nfkb1","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Ets151","Ets1",4,"no data","Ets1","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Tcf1251","Tcf12",1,"no data","Tcf12","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Mapk153","Mapk1",4,"no data","Mapk1","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Fyn22","Fyn",21,"no data","Fyn","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Prkca30","Prkca",3,"no data","Prkca","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Rhoa51","Rhoa",31,"no data","Rhoa","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Ptk2b4","Ptk2b",15,"no data","Ptk2b","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Rac134","Rac1",19,"no data","Rac1","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Gsk3b33","Gsk3b",6,"no data","Gsk3b","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Itgb1210","Itgb1",9,"int","Itgb1","Itgb1","vis_net_I","square","Parabiosis2","PB","Nkcell"
"Kmt2a53","Kmt2a",7,"no data","Kmt2a","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Ncoa252","Ncoa2",5,"no data","Ncoa2","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Ccnd34","Ccnd3",5,"no data","Ccnd3","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Il2rg51","Il2rg",13,"no data","Il2rg","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Pik3r142","Pik3r1",28,"no data","Pik3r1","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Crebbp38","Crebbp",6,"no data","Crebbp","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Jak151","Jak1",11,"no data","Jak1","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Pik3cd11","Pik3cd",22,"no data","Pik3cd","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"NICHE521","NICHE",25,"no data","NICHE","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Zmiz251","Zmiz2",1,"downregulated","Zmiz2","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Zfp4225","Zfp422",1,"downregulated","Zfp422","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Hmgb152","Hmgb1",1,"upregulated","Hmgb1","Itgb1","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Stat363","Stat3",11,"no data","Stat3","Gnai2","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Nfkb142","Nfkb1",15,"no data","Nfkb1","Gnai2","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Ets16","Ets1",4,"no data","Ets1","Gnai2","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Tcf1261","Tcf12",1,"no data","Tcf12","Gnai2","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Mapk163","Mapk1",4,"no data","Mapk1","Gnai2","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Prkca115","Prkca",3,"no data","Prkca","Gnai2","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Rhoa61","Rhoa",31,"no data","Rhoa","Gnai2","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Rac141","Rac1",19,"no data","Rac1","Gnai2","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Gsk3b42","Gsk3b",6,"no data","Gsk3b","Gnai2","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Kmt2a62","Kmt2a",7,"no data","Kmt2a","Gnai2","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Ncoa261","Ncoa2",5,"no data","Ncoa2","Gnai2","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Ccnd35","Ccnd3",5,"no data","Ccnd3","Gnai2","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Il2rg6","Il2rg",13,"no data","Il2rg","Gnai2","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Pik3r152","Pik3r1",28,"no data","Pik3r1","Gnai2","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Gnai221","Gnai2",8,"int","Gnai2","Gnai2","vis_net_I","square","Parabiosis2","PB","Nkcell"
"Cd2472","Cd247",9,"no data","Cd247","Gnai2","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Crebbp44","Crebbp",6,"no data","Crebbp","Gnai2","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Jak161","Jak1",11,"no data","Jak1","Gnai2","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Pik3cd21","Pik3cd",22,"no data","Pik3cd","Gnai2","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"NICHE617","NICHE",25,"no data","NICHE","Gnai2","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Zmiz261","Zmiz2",1,"downregulated","Zmiz2","Gnai2","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Zfp4226","Zfp422",1,"downregulated","Zfp422","Gnai2","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Hmgb161","Hmgb1",1,"upregulated","Hmgb1","Gnai2","vis_net_I","circle","Parabiosis2","PB","Nkcell"
"Mef2a28","Mef2a",1,"no data","Mef2a","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Stat336","Stat3",8,"no data","Stat3","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Prkce15","Prkce",17,"no data","Prkce","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Ptk2b19","Ptk2b",15,"no data","Ptk2b","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Akt313","Akt3",8,"int","Akt3","Akt3","vis_net_A","square","Parabiosis2","PB","Platelet"
"Mapk1440","Mapk14",23,"no data","Mapk14","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Ptprj4","Ptprj",3,"no data","Ptprj","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Pten5","Pten",15,"no data","Pten","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Gsk3b30","Gsk3b",8,"no data","Gsk3b","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Map3k5","Map3k5",7,"no data","Map3k5","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Insr4","Insr",7,"no data","Insr","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Itgb130","Itgb1",9,"no data","Itgb1","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Cd86","Cd86",6,"no data","Cd86","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Pkm3","Pkm",2,"no data","Pkm","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Mpl","Mpl",3,"no data","Mpl","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Pik3r134","Pik3r1",32,"no data","Pik3r1","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"S1pr13","S1pr1",2,"no data","S1pr1","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Gnai222","Gnai2",4,"no data","Gnai2","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Gnas8","Gnas",4,"no data","Gnas","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Rasa11","Rasa1",2,"no data","Rasa1","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Cd19","Cd19",15,"no data","Cd19","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Pecam11","Pecam1",3,"no data","Pecam1","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Traf5","Traf5",1,"no data","Traf5","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Cd79a4","Cd79a",14,"no data","Cd79a","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Cd79b4","Cd79b",17,"no data","Cd79b","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Gp9","Gp9",4,"no data","Gp9","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Ogt","Ogt",1,"no data","Ogt","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"NICHE108","NICHE",50,"no data","NICHE","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Hivep238","Hivep2",4,"downregulated","Hivep2","Akt3","vis_net_A","circle","Parabiosis2","PB","Platelet"
"Stat3117","Stat3",8,"no data","Stat3","Btk","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Rac135","Rac1",25,"no data","Rac1","Btk","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Btk","Btk",15,"int","Btk","Btk","vis_net_I","square","Parabiosis2","PB","Platelet"
"H2-K118","H2-K1",5,"no data","H2-K1","Btk","vis_net_I","circle","Parabiosis2","PB","Platelet"
"H2-D117","H2-D1",5,"no data","H2-D1","Btk","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Cd79a1","Cd79a",14,"no data","Cd79a","Btk","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Cd79b1","Cd79b",17,"no data","Cd79b","Btk","vis_net_I","circle","Parabiosis2","PB","Platelet"
"B2m19","B2m",4,"no data","B2m","Btk","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Blnk1","Blnk",13,"no data","Blnk","Btk","vis_net_I","circle","Parabiosis2","PB","Platelet"
"NICHE147","NICHE",50,"no data","NICHE","Btk","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Hivep2118","Hivep2",4,"downregulated","Hivep2","Btk","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Stat3212","Stat3",8,"no data","Stat3","Lyn","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Ptprc16","Ptprc",7,"no data","Ptprc","Lyn","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Lyn35","Lyn",18,"int","Lyn","Lyn","vis_net_I","square","Parabiosis2","PB","Platelet"
"Ptk2b110","Ptk2b",15,"no data","Ptk2b","Lyn","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Ptpn615","Ptpn6",13,"no data","Ptpn6","Lyn","vis_net_I","circle","Parabiosis2","PB","Platelet"
"S1pr111","S1pr1",2,"no data","S1pr1","Lyn","vis_net_I","circle","Parabiosis2","PB","Platelet"
"NICHE233","NICHE",50,"no data","NICHE","Lyn","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Hivep2211","Hivep2",4,"downregulated","Hivep2","Lyn","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Mef2a114","Mef2a",1,"no data","Mef2a","Map3k1","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Mapk14117","Mapk14",23,"no data","Mapk14","Map3k1","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Traf33","Traf3",8,"no data","Traf3","Map3k1","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Map3k1","Map3k1",6,"int","Map3k1","Map3k1","vis_net_I","square","Parabiosis2","PB","Platelet"
"Itgb3","Itgb3",9,"no data","Itgb3","Map3k1","vis_net_I","circle","Parabiosis2","PB","Platelet"
"NICHE327","NICHE",50,"no data","NICHE","Map3k1","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Hivep239","Hivep2",4,"downregulated","Hivep2","Map3k1","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Stat337","Stat3",8,"no data","Stat3","Ptpn1","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Ptpn15","Ptpn1",4,"int","Ptpn1","Ptpn1","vis_net_I","square","Parabiosis2","PB","Platelet"
"Jak137","Jak1",10,"no data","Jak1","Ptpn1","vis_net_I","circle","Parabiosis2","PB","Platelet"
"NICHE424","NICHE",50,"no data","NICHE","Ptpn1","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Hivep246","Hivep2",4,"downregulated","Hivep2","Ptpn1","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Mef2a29","Mef2a",1,"no data","Mef2a","H2-Ab1","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Stat344","Stat3",8,"no data","Stat3","H2-Ab1","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Prkce16","Prkce",17,"no data","Prkce","H2-Ab1","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Mapk14211","Mapk14",23,"no data","Mapk14","H2-Ab1","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Map3k11","Map3k1",6,"no data","Map3k1","H2-Ab1","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Plcg27","Plcg2",26,"no data","Plcg2","H2-Ab1","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Grap2","Grap2",12,"no data","Grap2","H2-Ab1","vis_net_I","circle","Parabiosis2","PB","Platelet"
"H2-Ab1","H2-Ab1",9,"int","H2-Ab1","H2-Ab1","vis_net_I","square","Parabiosis2","PB","Platelet"
"NICHE522","NICHE",50,"no data","NICHE","H2-Ab1","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Hivep255","Hivep2",4,"downregulated","Hivep2","H2-Ab1","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Stat354","Stat3",8,"no data","Stat3","Itga2b","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Ptpn111","Ptpn1",4,"no data","Ptpn1","Itga2b","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Jak1112","Jak1",10,"no data","Jak1","Itga2b","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Itga2b","Itga2b",13,"int","Itga2b","Itga2b","vis_net_I","square","Parabiosis2","PB","Platelet"
"NICHE618","NICHE",50,"no data","NICHE","Itga2b","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Hivep265","Hivep2",4,"downregulated","Hivep2","Itga2b","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Stat364","Stat3",8,"no data","Stat3","Itga4","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Lyn114","Lyn",18,"no data","Lyn","Itga4","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Ptk2b22","Ptk2b",15,"no data","Ptk2b","Itga4","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Rac1113","Rac1",25,"no data","Rac1","Itga4","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Itga4","Itga4",8,"int","Itga4","Itga4","vis_net_I","square","Parabiosis2","PB","Platelet"
"NICHE713","NICHE",50,"no data","NICHE","Itga4","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Hivep274","Hivep2",4,"downregulated","Hivep2","Itga4","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Stat373","Stat3",8,"no data","Stat3","Prkce","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Prkce21","Prkce",17,"int","Prkce","Prkce","vis_net_I","square","Parabiosis2","PB","Platelet"
"NICHE811","NICHE",50,"no data","NICHE","Prkce","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Hivep283","Hivep2",4,"downregulated","Hivep2","Prkce","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Stat382","Stat3",8,"no data","Stat3","Ptk2b","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Lyn211","Lyn",18,"no data","Lyn","Ptk2b","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Ptk2b31","Ptk2b",15,"int","Ptk2b","Ptk2b","vis_net_I","square","Parabiosis2","PB","Platelet"
"Rac1211","Rac1",25,"no data","Rac1","Ptk2b","vis_net_I","circle","Parabiosis2","PB","Platelet"
"NICHE910","NICHE",50,"no data","NICHE","Ptk2b","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Hivep292","Hivep2",4,"downregulated","Hivep2","Ptk2b","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Mef2a34","Mef2a",1,"no data","Mef2a","Traf3","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Stat391","Stat3",8,"no data","Stat3","Traf3","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Prkce31","Prkce",17,"no data","Prkce","Traf3","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Pik3ca13","Pik3ca",29,"no data","Pik3ca","Traf3","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Mapk14310","Mapk14",23,"no data","Mapk14","Traf3","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Traf31","Traf3",8,"int","Traf3","Traf3","vis_net_I","square","Parabiosis2","PB","Platelet"
"Map3k12","Map3k1",6,"no data","Map3k1","Traf3","vis_net_I","circle","Parabiosis2","PB","Platelet"
"NICHE109","NICHE",50,"no data","NICHE","Traf3","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Hivep210","Hivep2",4,"downregulated","Hivep2","Traf3","vis_net_I","circle","Parabiosis2","PB","Platelet"
"Stat338","Stat3",4,"no data","Stat3","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Nfkb137","Nfkb1",10,"no data","Nfkb1","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Ets119","Ets1",2,"no data","Ets1","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Stat19","Stat1",1,"no data","Stat1","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Nr3c130","Nr3c1",3,"no data","Nr3c1","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Runx19","Runx1",1,"no data","Runx1","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Tcf7","Tcf7",1,"no data","Tcf7","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Foxp117","Foxp1",1,"no data","Foxp1","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Fyn15","Fyn",15,"no data","Fyn","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Rhoa29","Rhoa",21,"no data","Rhoa","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Lck2","Lck",13,"no data","Lck","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Ptk2b20","Ptk2b",5,"no data","Ptk2b","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Kmt2a20","Kmt2a",7,"no data","Kmt2a","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Ncoa220","Ncoa2",6,"no data","Ncoa2","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Pak26","Pak2",4,"int","Pak2","Pak2","vis_net_I","square","Parabiosis2","PB","Tcell"
"Il2rg14","Il2rg",13,"no data","Il2rg","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Crebbp39","Crebbp",7,"no data","Crebbp","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Jak138","Jak1",9,"no data","Jak1","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Rac27","Rac2",16,"no data","Rac2","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"NICHE148","NICHE",20,"no data","NICHE","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Aff317","Aff3",1,"downregulated","Aff3","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Zbtb7b3","Zbtb7b",1,"upregulated","Zbtb7b","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Nr4a39","Nr4a3",2,"upregulated","Nr4a3","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Zfp367","Zfp367",1,"upregulated","Zfp367","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Trps120","Trps1",2,"upregulated","Trps1","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Crebrf12","Crebrf",1,"downregulated","Crebrf","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Cebpz","Cebpz",1,"upregulated","Cebpz","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Hmgb120","Hmgb1",1,"upregulated","Hmgb1","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Zfp715","Zfp715",1,"upregulated","Zfp715","Pak2","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Stat3118","Stat3",4,"no data","Stat3","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Nfkb1114","Nfkb1",10,"no data","Nfkb1","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Ets1110","Ets1",2,"no data","Ets1","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Stat111","Stat1",1,"no data","Stat1","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Nr3c1112","Nr3c1",3,"no data","Nr3c1","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Runx112","Runx1",1,"no data","Runx1","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Tcf71","Tcf7",1,"no data","Tcf7","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Foxp118","Foxp1",1,"no data","Foxp1","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Rhoa114","Rhoa",21,"no data","Rhoa","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Hsp90aa125","Hsp90aa1",3,"no data","Hsp90aa1","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Rock113","Rock1",3,"int","Rock1","Rock1","vis_net_I","square","Parabiosis2","PB","Tcell"
"Kmt2a111","Kmt2a",7,"no data","Kmt2a","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Ncoa2111","Ncoa2",6,"no data","Ncoa2","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Il2rg15","Il2rg",13,"no data","Il2rg","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Crebbp116","Crebbp",7,"no data","Crebbp","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Jak1113","Jak1",9,"no data","Jak1","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"H2-Q73","H2-Q7",6,"no data","H2-Q7","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"H2-K119","H2-K1",7,"no data","H2-K1","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"H2-D118","H2-D1",7,"no data","H2-D1","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Cd3g1","Cd3g",12,"no data","Cd3g","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"B2m20","B2m",7,"no data","B2m","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"NICHE149","NICHE",20,"no data","NICHE","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Aff318","Aff3",1,"downregulated","Aff3","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Zbtb7b11","Zbtb7b",1,"upregulated","Zbtb7b","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Nr4a311","Nr4a3",2,"upregulated","Nr4a3","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Zfp3671","Zfp367",1,"upregulated","Zfp367","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Trps1111","Trps1",2,"upregulated","Trps1","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Crebrf13","Crebrf",1,"downregulated","Crebrf","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Cebpz1","Cebpz",1,"upregulated","Cebpz","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Hmgb1110","Hmgb1",1,"upregulated","Hmgb1","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Zfp7151","Zfp715",1,"upregulated","Zfp715","Rock1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Stat3213","Stat3",4,"no data","Stat3","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Nfkb1211","Nfkb1",10,"no data","Nfkb1","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Ets124","Ets1",2,"no data","Ets1","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Stat12","Stat1",1,"no data","Stat1","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Nr3c1210","Nr3c1",3,"no data","Nr3c1","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Runx121","Runx1",1,"no data","Runx1","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Tcf72","Tcf7",1,"no data","Tcf7","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Foxp123","Foxp1",1,"no data","Foxp1","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Fyn16","Fyn",15,"no data","Fyn","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Rhoa210","Rhoa",21,"no data","Rhoa","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Lck11","Lck",13,"no data","Lck","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Hsp90aa1110","Hsp90aa1",3,"int","Hsp90aa1","Hsp90aa1","vis_net_I","square","Parabiosis2","PB","Tcell"
"Ppp1ca1","Ppp1ca",1,"no data","Ppp1ca","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Rock114","Rock1",3,"no data","Rock1","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Kmt2a24","Kmt2a",7,"no data","Kmt2a","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Ncoa224","Ncoa2",6,"no data","Ncoa2","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Tgfbr25","Tgfbr2",3,"no data","Tgfbr2","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Ccnd313","Ccnd3",8,"no data","Ccnd3","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Il2rg24","Il2rg",13,"no data","Il2rg","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Crebbp212","Crebbp",7,"no data","Crebbp","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Jak1211","Jak1",9,"no data","Jak1","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"NICHE234","NICHE",20,"no data","NICHE","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Aff323","Aff3",1,"downregulated","Aff3","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Zbtb7b2","Zbtb7b",1,"upregulated","Zbtb7b","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Nr4a321","Nr4a3",2,"upregulated","Nr4a3","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Zfp3672","Zfp367",1,"upregulated","Zfp367","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Trps124","Trps1",2,"upregulated","Trps1","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Crebrf21","Crebrf",1,"downregulated","Crebrf","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
"Cebpz2","Cebpz",1,"upregulated","Cebpz","Hsp90aa1","vis_net_I","circle","Parabiosis2","PB","Tcell"
